year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal
2016,8,IND,KC,14,30,-16,0,0,2.5,-2.5,49.5,44
2016,8,CHI,MIN,20,10,10,1,1,5,-5,41,30
2016,8,BUF,NE,25,41,-16,0,0,5,-5,47.5,66
2016,8,CLE,NYJ,28,31,-3,0,0,3,-3,43.5,59
2016,8,TB,OAK,24,30,-6,0,0,-1,1,49,54
2016,8,DAL,PHI,29,23,6,1,1,-4.5,4.5,43.5,52
2016,8,DEN,SD,27,19,8,1,1,-5.5,5.5,43.5,46
2016,8,NO,SEA,25,20,5,1,1,3.5,-3.5,47.5,45
2016,8,CIN,WAS,27,27,0,0,0,-2.5,2.5,46.5,54
2016,9,TB,ATL,28,43,-15,0,0,3,-3,51.5,71
2016,9,SEA,BUF,31,25,6,1,0,-7,7,44,56
2016,9,LARM,CAR,10,13,-3,0,0,2.5,-2.5,45.5,23
2016,9,CLE,DAL,10,35,-25,0,0,7.5,-7.5,47,45
2016,9,OAK,DEN,30,20,10,1,1,-2.5,2.5,44.5,50
2016,9,MIN,DET,16,22,-6,0,0,-6,6,41,38
2016,9,GB,IND,26,31,-5,0,0,-7,7,53,57
2016,9,KC,JAC,19,14,5,1,0,-7.5,7.5,45,33
2016,9,SF,NO,23,41,-18,0,0,3,-3,51,64
2016,9,MIA,NYJ,27,23,4,1,1,-3,3,44,50
2016,9,NYG,PHI,28,23,5,1,1,-3,3,43,51
2016,9,BAL,PIT,21,14,7,1,1,-2.5,2.5,44,35
2016,9,SD,TEN,43,35,8,1,1,-4,4,48,78
2016,10,PHI,ATL,24,15,9,1,1,-1,1,49.5,39
2016,10,TB,CHI,36,10,26,1,1,0,0,45.5,46
2016,10,NYG,CIN,21,20,1,1,0,-2.5,2.5,47,41
2016,10,BAL,CLE,28,7,21,1,1,-10.5,10.5,45.5,35
2016,10,PIT,DAL,30,35,-5,0,0,-2.5,2.5,51,65
2016,10,NO,DEN,23,25,-2,0,0,-1.5,1.5,48,48
2016,10,TEN,GB,47,25,22,1,1,2.5,-2.5,48.5,72
2016,10,JAC,HOU,21,24,-3,0,0,0,0,42.5,45
2016,10,CAR,KC,17,20,-3,0,0,-3,3,44,37
2016,10,NYJ,LARM,6,9,-3,0,0,-2.5,2.5,41,15
2016,10,SD,MIA,24,31,-7,0,0,-3.5,3.5,47.5,55
2016,10,WAS,MIN,26,20,6,1,1,-2.5,2.5,42.5,46
2016,10,NE,SEA,24,31,-7,0,0,-7.5,7.5,48.5,55
2016,10,ARI,SF,23,20,3,1,0,-13,13,48,43
2016,11,MIN,ARI,30,24,6,1,1,0,0,41.5,54
2016,11,DAL,BAL,27,17,10,1,1,-7.5,7.5,45,44
2016,11,CIN,BUF,12,16,-4,0,0,-3,3,47,28
2016,11,NYG,CHI,22,16,6,1,0,-7,7,45.5,38
2016,11,WAS,GB,42,24,18,1,1,-2.5,2.5,50,66
